firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
ODESSA,38,2.632,34.211,60.526,2.632,0,0,
ODETTE,31,16.129,58.065,19.355,6.452,0,0,
OFELIA,177,72.316,10.169,0,17.514,0,0,
OFER,16,0,100,0,0,0,0,
OK,43,0,2.326,0,97.674,0,0,
OKSANA,96,1.042,96.875,0,2.083,0,0,
OLA,40,0,45,45,7.5,0,2.5,
OLE,23,0,100,0,0,0,0,
OLEG,140,0,98.571,0,1.429,0,0,
OLENA,22,0,100,0,0,0,0,
OLGA,831,43.321,53.43,1.805,1.444,0,0,
OLIN,33,0,93.939,6.061,0,0,0,
OLIVE,39,2.564,64.103,28.205,5.128,0,0,
OLIVER,312,7.692,66.346,14.744,10.897,0,0.321,
OLIVIA,449,37.194,47.661,6.682,7.795,0.445,0.223,
OLIVIER,37,5.405,81.081,10.811,2.703,0,0,
OLLIE,53,0,39.623,54.717,5.66,0,0,
OMAR,453,64.459,21.854,7.506,5.74,0,0.442,
OMER,44,6.818,75,4.545,13.636,0,0,
OMID,33,9.091,69.697,0,18.182,3.03,0,
OPAL,58,1.724,81.034,17.241,0,0,0,
ORA,49,0,51.02,48.98,0,0,0,
ORALIA,49,93.878,6.122,0,0,0,0,
OREN,58,0,94.828,5.172,0,0,0,
ORLANDO,304,68.092,12.829,9.539,8.553,0.658,0.329,
ORRIN,16,0,100,0,0,0,0,
ORVILLE,119,1.681,83.193,10.084,3.361,1.681,0,
OSCAR,1132,75.088,15.813,4.152,4.417,0.442,0.088,
OSVALDO,95,81.053,16.842,0,2.105,0,0,
OSWALDO,44,93.182,6.818,0,0,0,0,
OTIS,131,0.763,51.145,47.328,0.763,0,0,
OTTO,123,28.455,60.976,2.439,7.317,0,0.813,
OWEN,285,1.053,88.07,7.368,3.509,0,0,
PABLO,435,85.747,7.816,0.23,5.977,0,0.23,
PADMA,32,0,25,0,75,0,0,
PAGE,53,0,96.226,1.887,1.887,0,0,
PAIGE,375,0.533,96.8,1.067,1.333,0,0.267,
PAM,192,2.083,92.708,2.604,2.604,0,0,
PAMALA,59,1.695,84.746,6.78,3.39,0,3.39,
PAMELA,8124,1.219,92.688,4.776,1.108,0.086,0.123,
PAMELLA,34,2.941,85.294,11.765,0,0,0,
PANAGIOTIS,38,0,97.368,2.632,0,0,0,
PANKAJ,89,0,10.112,0,86.517,3.371,0,
PAOLA,91,42.857,57.143,0,0,0,0,
PAOLO,73,10.959,78.082,0,8.219,0,2.74,
PARAG,41,2.439,24.39,0,70.732,2.439,0,
